academic_semester,academic_week,calendar_week,date_range,week_start,week_end
1,1,39,2022-09-26/2022-10-02,26/09/2022,10/02/2022
1,2,40,2022-10-03/2022-10-09,03/10/2022,10/09/2022
1,3,41,2022-10-10/2022-10-16,10/10/2022,16/10/2022
1,4,42,2022-10-17/2022-10-23,17/10/2022,23/10/2022
1,5,43,2022-10-24/2022-10-30,24/10/2022,30/10/2022
1,6,44,2022-10-31/2022-11-06,31/10/2022,11/06/2022
1,7,45,2022-11-07/2022-11-13,07/11/2022,13/11/2022
1,8,46,2022-11-14/2022-11-20,14/11/2022,20/11/2022
1,9,47,2022-11-21/2022-11-27,21/11/2022,27/11/2022
1,10,48,2022-11-28/2022-12-04,28/11/2022,12/04/2022
1,11,49,2022-12-05/2022-12-11,05/12/2022,12/11/2022
1,12,50,2022-12-12/2022-12-18,12/12/2022,18/12/2022
1,13,1,2023-01-02/2023-01-08,02/01/2023,01/08/2023
2,1,4,2023-01-23/2023-01-29,23/01/2023,29/01/2023
2,2,5,2023-01-30/2023-02-05,30/01/2023,02/05/2023
2,3,6,2023-02-06/2023-02-12,06/02/2023,02/12/2023
2,4,7,2023-02-13/2023-02-19,13/02/2023,19/02/2023
2,5,8,2023-02-20/2023-02-26,20/02/2023,26/02/2023
2,6,9,2023-02-27/2023-03-05,27/02/2023,03/05/2023
2,7,10,2023-03-06/2023-03-12,06/03/2023,03/12/2023
2,8,11,2023-03-13/2023-03-19,13/03/2023,19/03/2023
2,9,12,2023-03-20/2023-03-26,20/03/2023,26/03/2023
2,10,13,2023-03-27/2023-04-02,27/03/2023,04/02/2023
2,11,17,2023-04-24/2023-04-30,24/04/2023,30/04/2023
2,12,18,2023-05-01/2023-05-07,01/05/2023,05/07/2023
2,13,19,2023-05-08/2023-05-14,08/05/2023,14/05/2023
